account_value,date,daily_return
10000000.0,2012-01-09,
7757009.181107996,2012-01-10,-0.22429908188920045
7750962.545308997,2012-01-11,-0.0007795060773841955
7758005.505289996,2012-01-12,0.0009086561752593703
7729761.458864994,2012-01-13,-0.003640632428752788
7697248.765024994,2012-01-16,-0.0042061703990506905
7779651.415525994,2012-01-17,0.010705468020654862
7746708.616278995,2012-01-18,-0.004234482689192798
7800435.300916994,2012-01-19,0.00693542087346577
7853360.463505993,2012-01-20,0.006784898604668577
7810969.221830993,2012-01-30,-0.005397847440212211
7803293.0985449925,2012-01-31,-0.0009827363375785048
7751005.936478994,2012-02-01,-0.006700653353101438
7850064.547915995,2012-02-02,0.012780097480095565
7878069.950741995,2012-02-03,0.0035675379043138555
7877388.834716994,2012-02-06,-8.645721975808485e-05
7828468.282126996,2012-02-07,-0.006210249819635361
7918906.633652996,2012-02-08,0.01155249638457101
7931818.022288997,2012-02-09,0.0016304509237590192
7945738.086956995,2012-02-10,0.0017549652083395095
7949867.066282998,2012-02-13,0.000519647046103966
7907522.913242998,2012-02-14,-0.005326397622369083
7953569.485923998,2012-02-15,0.005823134904090477
7909682.848074999,2012-02-16,-0.005517854332783401
7907027.369763997,2012-02-17,-0.00033572500465650634
7945211.258322998,2012-02-20,0.00482910792809621
7997465.6900149975,2012-02-21,0.006576846101764788
8077777.994611998,2012-02-22,0.010042219336717118
8079049.8702839995,2012-02-23,0.00015745365530595024
8196717.543207999,2012-02-24,0.014564543456625945
8207167.471199999,2012-02-27,0.001274891801128275
8212297.147849898,2012-02-28,0.0006250240010210462
8080824.556016499,2012-02-29,-0.016009234622960555
8040289.123527996,2012-03-01,-0.005016249543287388
8194797.967739499,2012-03-02,0.01921682688740245
8090179.561046098,2012-03-05,-0.012766441235678161
7991783.332073096,2012-03-06,-0.01216242831577885
7968540.766400596,2012-03-07,-0.0029083077839737737
8070242.573310899,2012-03-08,0.012762914803564618
8118374.724568298,2012-03-09,0.005964151736476575
8064694.551925198,2012-03-12,-0.006612182174918546
8131813.2113181995,2012-03-13,0.008322529633435272
7921316.409466398,2012-03-14,-0.02588559234966481
7845910.5476132985,2012-03-15,-0.00951935990878805
7999855.916539597,2012-03-16,0.01962109661996192
7971433.328889701,2012-03-19,-0.00355288744527682
7846562.027656699,2012-03-20,-0.015664849228613553
7824075.177862196,2012-03-21,-0.0028658219632041737
7835054.271417998,2012-03-22,0.001403244895558542
7834756.1665172,2012-03-23,-3.804758594783131e-05
7857303.361407296,2012-03-26,0.002877842578745904
7731424.9228873,2012-03-27,-0.016020564910128376
7591997.079067298,2012-03-28,-0.01803391292169887
7554606.107148297,2012-03-29,-0.0049250508831326645
7594024.3351795,2012-03-30,0.005217774093331684
7820267.829915499,2012-04-05,0.029792305732801116
7851400.193664297,2012-04-06,0.003980984337864424
7814593.473879198,2012-04-09,-0.004687917935300434
7879424.985703199,2012-04-10,0.008296210422295891
8044546.292025898,2012-04-12,0.0209560096862782
8056227.421375601,2012-04-13,0.0014520557065202944
8043839.265698402,2012-04-16,-0.00153771176373807
7933937.906057298,2012-04-17,-0.01366279907030965
8115594.405398999,2012-04-18,0.02289613323076467
8041484.743789599,2012-04-19,-0.009131760153032964
8147814.233018701,2012-04-20,0.0132226190332847
8100301.473018697,2012-04-23,-0.0058313504261621185
8091704.513018698,2012-04-24,-0.001061313585504764
8153332.433018698,2012-04-25,0.007616185180866042
8193297.953018697,2012-04-26,0.004901740524910991
8298088.953018696,2012-04-27,0.012789843674779311
8434345.8730187,2012-05-02,0.016420277098914138
8436345.033018699,2012-05-03,0.0002370260871555896
8568673.513018696,2012-05-04,0.015685522519773842
8573111.3130187,2012-05-07,0.0005179098017051853
8557298.753018698,2012-05-08,-0.0018444365671527185
8399836.233018698,2012-05-09,-0.018400960927588583
8334842.553018699,2012-05-10,-0.007737493707855481
8292056.2330187,2012-05-11,-0.00513342870340161
8202143.433018701,2012-05-14,-0.010843245327011752
8229884.353018699,2012-05-15,0.0033821549484642777
8108161.353018698,2012-05-16,-0.014790365791149118
8183474.393018696,2012-05-17,0.009288547269962644
8075175.553018697,2012-05-18,-0.01323384601684452
8166374.193018698,2012-05-21,0.011293703697365265
8361205.073018701,2012-05-22,0.02385769686705763
8384188.6730186995,2012-05-23,0.0027488382116311882
8193032.993018699,2012-05-24,-0.022799544172373176
8149641.033018699,2012-05-25,-0.005296202277834672
8359505.4730187,2012-05-28,0.025751372256731964
8396592.713018697,2012-05-29,0.00443653516582998
8436946.993018698,2012-05-30,0.004806030419628682
8537301.9130187,2012-05-31,0.01189469604147586
8570686.993018696,2012-06-01,0.003910495416483695
8343805.513018699,2012-06-04,-0.026471796273134784
8420751.233018698,2012-06-05,0.009221897595760309
8350041.873018699,2012-06-06,-0.008397037039016175
8341238.473018698,2012-06-07,-0.0010542941141944429
8322752.6330186995,2012-06-08,-0.0022161984769761833
8369781.193018702,2012-06-11,0.005650601678755418
