,0
Annual return,-0.06170700205029023
Cumulative returns,-0.15492638538133974
Annual volatility,0.2053695011561979
Sharpe ratio,-0.20775067610449882
Calmar ratio,-0.17548896781848117
Stability,0.03982883593574663
Max drawdown,-0.35162895318933957
Omega ratio,0.9650956583739096
Sortino ratio,-0.28409819929625196
Skew,
Kurtosis,
Tail ratio,0.921966158897984
Daily value at risk,-0.026043433237923578
