account_value,date,daily_return
10000000.0,2012-01-09,
5635684.4883554,2012-01-10,-0.43643155116446
5625366.4502683,2012-01-11,-0.0018308402658842038
5637355.2109411005,2012-01-12,0.002131196390277479
5592112.928997001,2012-01-13,-0.008025444601449383
5439784.954359002,2012-01-16,-0.02723978871172761
5582622.408079301,2012-01-17,0.026257922862527927
5469048.500402601,2012-01-18,-0.02034418582785269
5558281.108622302,2012-01-19,0.016315929217510572
5666135.871682301,2012-01-20,0.01940433759147031
5601317.4645792,2012-01-30,-0.011439613975203877
5641767.701231699,2012-01-31,0.007221557590386896
5588317.417109903,2012-02-01,-0.009474031359023805
5662361.627271401,2012-02-02,0.013249821839896647
5673112.322029102,2012-02-03,0.001898623836726232
5709786.284198103,2012-02-06,0.0064645224855839345
5632327.389652801,2012-02-07,-0.013565988408300034
5790085.061327002,2012-02-08,0.028009322036929074
5785083.5194002,2012-02-09,-0.0008638114766583715
5788530.343815902,2012-02-10,0.0005958123861382614
5791253.756070199,2012-02-13,0.00047048423218631896
5783496.709850401,2012-02-14,-0.0013394416039304025
5827132.196950801,2012-02-15,0.00754482785925692
5827930.996950802,2012-02-16,0.00013708286906877198
5829086.836950801,2012-02-17,0.00019832767419591946
5830441.0369508015,2012-02-20,0.0002323176919265535
5854708.8769508,2012-02-21,0.004162264886343969
5933842.716950801,2012-02-22,0.013516272399391127
5962192.316950802,2012-02-23,0.004777612308296542
6019114.716950802,2012-02-24,0.009547226418404442
6106341.556950803,2012-02-27,0.014491639402445022
6138510.636950801,2012-02-28,0.005268142913391394
6080548.916950801,2012-02-29,-0.009442309939335924
6046609.6769508,2012-03-01,-0.0055816079211843395
6152962.356950802,2012-03-02,0.01758881186020811
6129268.2769508,2012-03-05,-0.003850841046221465
6042842.756950799,2012-03-06,-0.014100462909252154
5987763.396950801,2012-03-07,-0.009114809405994073
6142903.6369508,2012-03-08,0.025909547474605166
6263351.6769508,2012-03-09,0.019607672058451486
6290034.4369508,2012-03-12,0.004260140796211731
6312936.876950801,2012-03-13,0.0036410675059999065
6214867.476950802,2012-03-14,-0.015534671407544276
6217198.156950803,2012-03-15,0.0003750168460783243
6399331.0369508015,2012-03-16,0.02929500964938292
6455135.476950803,2012-03-19,0.008720355249287381
6345571.8769508,2012-03-20,-0.016973090710678096
6307835.156950801,2012-03-21,-0.005946937601805757
6231139.396950803,2012-03-22,-0.012158808543924038
6176618.476950803,2012-03-23,-0.008749751293748886
6241883.596950799,2012-03-26,0.010566480711662107
6317248.276950802,2012-03-27,0.012074028428985528
6104644.356950801,2012-03-28,-0.03365451390848617
6072496.436950801,2012-03-29,-0.005266141337684327
6085488.196950803,2012-03-30,0.0021394430008963017
6322977.476950802,2012-04-05,0.03902550992030451
6302630.2769508,2012-04-06,-0.003217977618008905
6271819.036950801,2012-04-09,-0.004888631991103565
6278734.8769508,2012-04-10,0.001102684876469695
6379987.756950801,2012-04-12,0.01612631875438786
6451152.996950803,2012-04-13,0.011154447737375284
6381430.2769508045,2012-04-16,-0.010807792038563302
6304130.236950801,2012-04-17,-0.012113278159475493
