train/reward,time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/learning_rate,train/clip_fraction,train/explained_variance,train/clip_range,train/loss,train/entropy_loss,train/value_loss,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/std
-9.114095,2048,7,1,256,,,,,,,,,,,
-18.263706,4096,16,2,252,0.00025,0.28388671875,-0.00038945674896240234,0.2,1748.659912109375,-53.97095122337341,5374.5716773986815,10,-0.02615886619896628,0.021269351,1.0027276277542114
-12.291031,6144,24,3,249,0.00025,0.192724609375,-0.001247406005859375,0.2,1242.2298583984375,-54.0654022693634,2631.350419616699,20,-0.023604671930661424,0.020216007,1.005005121231079
-5.5155845,8192,32,4,249,0.00025,0.168359375,0.0016875267028808594,0.2,3827.193603515625,-54.146209359169006,3633.7020057678224,30,-0.02340443038265221,0.016822074,1.0067499876022339
8.733643,10240,41,5,248,0.00025,0.192333984375,-0.0004324913024902344,0.2,954.8126220703125,-54.206147050857545,2506.521477508545,40,-0.0258994780248031,0.016767122,1.0086761713027954
6.8077064,12288,49,6,248,0.00025,0.21796875,0.0012545585632324219,0.2,779.57373046875,-54.281595945358276,2092.364546585083,50,-0.026236663883901203,0.01882789,1.0104442834854126
11.089914,14336,57,7,248,0.00025,0.31181640625,-0.004970192909240723,0.2,1829.7813720703125,-54.340642189979555,3465.841770935059,60,-0.026816543060704134,0.026995566,1.0122199058532715
8.745135,16384,65,8,248,0.00025,0.267529296875,-0.0059049129486083984,0.2,2945.062255859375,-54.430027556419375,5904.564114379883,70,-0.028729191576712765,0.025710894,1.0147923231124878
8.872336,18432,73,9,249,0.00025,0.269921875,-0.001262068748474121,0.2,3249.59130859375,-54.50279986858368,4868.352883911133,80,-0.01951873646466993,0.022190303,1.0163249969482422
3.7886186,20480,82,10,248,0.00025,0.29599609375,2.092123031616211e-05,0.2,2233.60009765625,-54.56932444572449,4065.7705307006836,90,-0.02616881720314268,0.027621027,1.0184630155563354
1.057785,22528,90,11,248,0.00025,0.30556640625,-0.001306772232055664,0.2,1615.045166015625,-54.65396611690521,4312.378437805176,100,-0.027238932618638502,0.026465703,1.0209308862686157
-1.9424001,24576,99,12,247,0.00025,0.3162109375,-0.0005129575729370117,0.2,1460.1614990234375,-54.7702675819397,3163.1621955871583,110,-0.020637075492413715,0.034146965,1.025144338607788
-3.4830377,26624,107,13,246,0.00025,0.314208984375,0.0005363821983337402,0.2,1159.986083984375,-54.902509331703186,1777.226812362671,120,-0.018188208804349414,0.03652366,1.0272438526153564
3.0039563,28672,116,14,246,0.00025,0.335693359375,-0.0003962516784667969,0.2,736.3230590820312,-55.011702036857606,1459.571910095215,130,-0.017580967834510373,0.048312426,1.0316953659057617
-20.920269,30720,124,15,246,0.00025,0.35654296875,-0.001973390579223633,0.2,535.7499389648438,-55.179255795478824,1211.3978267669677,140,-0.023919358625425956,0.03765247,1.0358476638793945
-2.3420258,32768,132,16,247,0.00025,0.24228515625,-0.0002186298370361328,0.2,875.4268188476562,-55.2798627614975,2718.605879211426,150,-0.018232007286860606,0.024619486,1.037723183631897
3.694409,34816,140,17,247,0.00025,0.320849609375,0.00025594234466552734,0.2,849.4329833984375,-55.36076691150665,2325.188842010498,160,-0.022811297576117794,0.026748443,1.0400111675262451
-11.184267,36864,148,18,247,0.00025,0.298876953125,5.3763389587402344e-05,0.2,1827.3802490234375,-55.46696186065674,3189.8504539489745,170,-0.019758275372441857,0.027124,1.0434091091156006
5.0910416,38912,156,19,248,0.00025,0.33232421875,0.00013709068298339844,0.2,888.6763305664062,-55.59535689353943,2704.589334106445,180,-0.012864384912245442,0.03911,1.0479918718338013
1.9847696,40960,164,20,248,0.00025,0.3169921875,3.838539123535156e-05,0.2,1175.9622802734375,-55.75568640232086,3166.2911590576173,190,-0.02025837169785518,0.029202387,1.0510669946670532
-3.5470421,43008,172,21,248,0.00025,0.32529296875,3.230571746826172e-05,0.2,1305.85595703125,-55.828221273422244,2144.8196952819826,200,-0.0187632853834657,0.042260423,1.0525648593902588
-4.112955,45056,180,22,248,0.00025,0.3076171875,0.00014597177505493164,0.2,881.2444458007812,-55.89249942302704,2407.753419494629,210,-0.012685552351467778,0.038511455,1.054789662361145
3.4344554,47104,189,23,249,0.00025,0.2833984375,0.007317543029785156,0.2,1373.479736328125,-55.96861908435822,1902.199695968628,220,-0.021017806959571318,0.022404674,1.056325078010559
-2.8181818,49152,197,24,248,0.00025,0.277685546875,0.009674906730651855,0.2,1161.1492919921875,-56.02540762424469,2625.3965126037597,230,-0.023295071770553476,0.027748372,1.0583685636520386
24.643652,51200,205,25,248,0.00025,0.263134765625,0.013842105865478516,0.2,1150.0552978515625,-56.10542483329773,3221.4691673278808,240,-0.026914997752101044,0.023375295,1.0603413581848145
-60.079365,53248,213,26,248,0.00025,0.19482421875,-0.013756513595581055,0.2,1523.5291748046875,-56.158309483528136,3084.362616729736,250,-0.02489025862014387,0.019486595,1.0616472959518433
-18.71268,55296,222,27,248,0.00025,0.230029296875,-0.0012924671173095703,0.2,1063.2578125,-56.208859872817996,2253.948059844971,260,-0.027174415130866693,0.02194481,1.0630111694335938
-8.239256,57344,230,28,249,0.00025,0.258447265625,0.018901526927947998,0.2,1367.8104248046875,-56.26572484970093,2577.841229248047,270,-0.019712435736437328,0.024427857,1.0651192665100098
-5.331921,59392,238,29,249,0.00025,0.25986328125,0.005469322204589844,0.2,1117.8026123046875,-56.33132417201996,3242.648120880127,280,-0.02137713490810711,0.023413112,1.0667158365249634
8.315979,61440,246,30,248,0.00025,0.26328125,-0.016730785369873047,0.2,1255.8507080078125,-56.40685987472534,2716.208287811279,290,-0.025638001700281167,0.022428682,1.069043517112732
1.4145216,63488,255,31,248,0.00025,0.323046875,0.006411373615264893,0.2,937.3900146484375,-56.50116357803345,2650.0296615600587,300,-0.017401686956873164,0.040357172,1.0721521377563477
32.521557,65536,263,32,248,0.00025,0.221533203125,0.011415183544158936,0.2,729.4078979492188,-56.584904599189755,1795.865249633789,310,-0.020766752766212447,0.018683653,1.073929786682129
-6.6333466,67584,272,33,248,0.00025,0.279248046875,-0.007716059684753418,0.2,2396.42041015625,-56.64974091053009,2694.6076599121093,320,-0.012610688642598688,0.028177224,1.0757030248641968
-6.7658653,69632,280,34,248,0.00025,0.25439453125,-0.0007605552673339844,0.2,1726.8558349609375,-56.72577307224274,2811.915702819824,330,-0.021065090343472547,0.02293082,1.078276515007019
-3.6644886,71680,288,35,248,0.00025,0.306982421875,0.0045670270919799805,0.2,918.1007080078125,-56.80845150947571,1866.201023864746,340,-0.02258301289548399,0.033615917,1.0801950693130493
-7.6625104,73728,296,36,248,0.00025,0.297265625,-0.01184237003326416,0.2,1115.185546875,-56.89268543720245,1461.664960861206,350,-0.02059920006140601,0.034944143,1.0834203958511353
-5.1155577,75776,304,37,248,0.00025,0.332373046875,-0.004253387451171875,0.2,750.6832275390625,-57.01133871078491,1254.6305404663085,360,-0.012468379773781634,0.032729946,1.0868433713912964
2.7711024,77824,312,38,248,0.00025,0.283984375,0.0067996978759765625,0.2,628.54443359375,-57.10686490535736,1204.5684272766114,370,-0.029740902411867866,0.025043696,1.088253378868103
-4.575601,79872,320,39,248,0.00025,0.317626953125,0.008834481239318848,0.2,699.855712890625,-57.15307803153992,1618.7093204498292,380,-0.024316017294768243,0.034972146,1.089888572692871
11.859413,81920,328,40,249,0.00025,0.26826171875,0.005534112453460693,0.2,1153.0474853515625,-57.20021331310272,1687.4477970123291,390,-0.022018413091427647,0.03598572,1.0913524627685547
-13.410485,83968,337,41,249,0.00025,0.29814453125,0.012149035930633545,0.2,1377.9403076171875,-57.27818260192871,2134.8431060791017,400,-0.024554110584722365,0.028505681,1.094244360923767
0.8866181,86016,345,42,249,0.00025,0.232177734375,0.008723437786102295,0.2,1146.56396484375,-57.3568098783493,2698.083967590332,410,-0.02037372928170953,0.02258339,1.0952755212783813
12.375351,88064,353,43,249,0.00025,0.318408203125,0.014033973217010498,0.2,788.9646606445312,-57.411961269378665,2254.3182891845704,420,-0.018895876558963208,0.028693203,1.0981281995773315
-23.289791,90112,361,44,249,0.00025,0.289306640625,0.004252433776855469,0.2,753.7286376953125,-57.52743313312531,1168.6272579193114,430,-0.030210449777951,0.026980408,1.1015233993530273
-0.96535295,92160,370,45,249,0.00025,0.3337890625,-0.016005873680114746,0.2,969.7634887695312,-57.634898972511294,2006.7332778930663,440,-0.020309172681299968,0.03796683,1.1044931411743164
-7.7957006,94208,378,46,248,0.00025,0.210986328125,0.006323695182800293,0.2,1306.5135498046875,-57.727358770370486,2580.8011154174806,450,-0.029857295978581534,0.0223476,1.1067280769348145
-5.366226,96256,386,47,248,0.00025,0.29072265625,0.00925379991531372,0.2,1118.3765869140625,-57.786957430839536,2042.222760772705,460,-0.01773326895199716,0.04409989,1.1081918478012085
0.9165058,98304,394,48,248,0.00025,0.375390625,0.009782850742340088,0.2,604.8736572265625,-57.889911365509036,1411.9447383880615,470,-0.009104757307795808,0.052860674,1.1134804487228394
-20.353134,100352,403,49,248,0.00025,0.371435546875,0.017448604106903076,0.2,638.2083129882812,-58.019372296333316,1326.1091808319093,480,-0.016041768217110074,0.049985424,1.1152042150497437
17.844595,102400,411,50,248,0.00025,0.42724609375,0.01441192626953125,0.2,781.9108276367188,-58.088316822052,1669.9333492279052,490,-0.01956391740241088,0.051076315,1.1175307035446167
-6.2099814,104448,419,51,248,0.00025,0.244921875,0.013987123966217041,0.2,944.2189331054688,-58.15690546035766,1681.0281227111816,500,-0.025524331294582224,0.026061803,1.119591236114502
-4.9456944,106496,428,52,248,0.00025,0.3462890625,0.016493022441864014,0.2,783.6915283203125,-58.258675003051756,1454.4453754425049,510,-0.014761691357125527,0.04317993,1.1230019330978394
-13.126898,108544,436,53,248,0.00025,0.31669921875,0.0031443238258361816,0.2,483.873779296875,-58.37187488079071,1003.2842060089112,520,-0.020919154500006698,0.037076376,1.1263655424118042
-16.307968,110592,445,54,248,0.00025,0.2951171875,-0.0061904191970825195,0.2,861.486572265625,-58.4330988407135,1524.1149669647216,530,-0.017399653454776853,0.037639536,1.1265696287155151
-6.13939,112640,453,55,248,0.00025,0.32294921875,0.0055727362632751465,0.2,1058.926025390625,-58.47542860507965,4129.166410827636,540,-0.015577759330335538,0.04113477,1.1295238733291626
-1.1195065,114688,461,56,248,0.00025,0.3763671875,0.0166933536529541,0.2,985.2979736328125,-58.60608441829682,2183.932638168335,550,-0.024791294685564937,0.043677703,1.133804202079773
22.612103,116736,469,57,248,0.00025,0.3017578125,0.030766606330871582,0.2,767.9944458007812,-58.755250096321106,1705.9851055145264,560,-0.031606539657514074,0.030467357,1.138249397277832
-5.8625197,118784,477,58,248,0.00025,0.3421875,0.017460942268371582,0.2,1705.8187255859375,-58.8840758562088,4094.801029968262,570,-0.024044239750946873,0.03360296,1.1416518688201904
0.76118016,120832,485,59,248,0.00025,0.37509765625,0.010762572288513184,0.2,2172.960693359375,-58.99244487285614,4112.462354278565,580,-0.015042196691501886,0.04572723,1.1448190212249756
-0.41921234,122880,493,60,248,0.00025,0.37890625,0.02560722827911377,0.2,1326.771240234375,-59.084419298171994,2091.7873123168947,590,-0.0221595250593964,0.042629983,1.1473815441131592
17.190903,124928,501,61,249,0.00025,0.31064453125,0.0110856294631958,0.2,841.700439453125,-59.16316137313843,1419.256058883667,600,-0.025133938679937275,0.031019341,1.149285912513733
