,0
Annual return,0.21468904208102013
Cumulative returns,0.6732637711473222
Annual volatility,0.31228119423926753
Sharpe ratio,0.7813991086679254
Calmar ratio,0.4886771778459013
Stability,0.43949584419640886
Max drawdown,-0.4393269254508133
Omega ratio,1.14046028878714
Sortino ratio,1.0786884517824553
Skew,
Kurtosis,
Tail ratio,0.9637681850458634
Daily value at risk,-0.0383754138973015
