,0
Annual return,0.17096118854841702
Cumulative returns,0.5185183048776998
Annual volatility,0.27891997633115684
Sharpe ratio,0.7065340709709865
Calmar ratio,0.4720145403837442
Stability,0.3418359148141844
Max drawdown,-0.3621947502071163
Omega ratio,1.1261378690971882
Sortino ratio,1.008042685178445
Skew,
Kurtosis,
Tail ratio,1.0343779185587305
Daily value at risk,-0.03435860416813798
