,0
Annual return,0.15801268614457098
Cumulative returns,0.47447707970960207
Annual volatility,0.4231091443947997
Sharpe ratio,0.5578168954578607
Calmar ratio,0.32340114574806617
Stability,0.5388769743957406
Max drawdown,-0.48859655638840865
Omega ratio,1.1004879608224007
Sortino ratio,0.8352320677981961
Skew,
Kurtosis,
Tail ratio,1.0736236060256585
Daily value at risk,-0.05237016449486255
